1 
!PHOTOSPHERE 64082 
1.0524671975914243e-01 1.8370883268777518e-03 9.9444444444444446e-01 2.0801098921570516e+00 
1.8178417774905223e-01 3.1730546255323527e-03 9.8333333333333328e-01 1.9302622803067233e+00 
1.8170111369931710e-01 6.3451427078876979e-03 9.8333333333333328e-01 1.9317802783781364e+00 
1.8156270173017097e-01 9.5152979983074443e-03 9.8333333333333328e-01 1.9333081031277339e+00 
1.8136898400324042e-01 1.2682554836780142e-02 9.8333333333333328e-01 1.9348293886474832e+00 
1.8112001952682172e-01 1.5845948446190888e-02 9.8333333333333328e-01 1.9363285170206108e+00 
1.8081588413790611e-01 1.9004515226201779e-02 9.8333333333333328e-01 1.9377907174929827e+00 
1.8045667047907929e-01 2.2157293046773895e-02 9.8333333333333328e-01 1.9392021532495411e+00 
1.8004248797030153e-01 2.5303321541241444e-02 9.8333333333333328e-01 1.9405499954223679e+00 
1.7957346277557726e-01 2.8441642398848756e-02 9.8333333333333328e-01 1.9418224841156007e+00 
1.7904973776452435e-01 3.1571299656660994e-02 9.8333333333333328e-01 1.9430089763875582e+00 
1.7847147246885461e-01 3.4691339990759774e-02 9.8333333333333328e-01 1.9440999812800646e+00 
1.7783884303377892e-01 3.7800813006634806e-02 9.8333333333333328e-01 1.9450871821276592e+00 
1.7715204216435154e-01 4.0898771528683327e-02 9.8333333333333328e-01 1.9459634465134561e+00 
1.7641127906677054e-01 4.3984271888728908e-02 9.8333333333333328e-01 1.9467228243624042e+00 
1.7561677938465137e-01 4.7056374213471981e-02 9.8333333333333328e-01 1.9473605347759635e+00 
1.7476878513029370e-01 5.0114142710784279e-02 9.8333333333333328e-01 1.9478729423129773e+00 
1.7386755461096209e-01 5.3156645954760294e-02 9.8333333333333328e-01 1.9482575235100617e+00 
1.7291336235020316e-01 5.6182957169438483e-02 9.8333333333333328e-01 1.9485128245093677e+00 
1.7190649900422303e-01 5.9192154511106335e-02 9.8333333333333328e-01 1.9486384107230865e+00 
1.7084727127335053e-01 6.2183321349102830e-02 9.8333333333333328e-01 1.9486348095111454e+00 
1.6973600180861353e-01 6.5155546545033027e-02 9.8333333333333328e-01 1.9485034468821778e+00 
1.6857302911345604e-01 6.8107924730309660e-02 9.8333333333333328e-01 1.9482465792476720e+00 
1.6735870744062697e-01 7.1039556581937155e-02 9.8333333333333328e-01 1.9478672212658215e+00 
1.6609340668427131e-01 7.3949549096454140e-02 9.8333333333333328e-01 1.9473690708054698e+00 
1.6477751226725662e-01 7.6837015861951005e-02 9.8333333333333328e-01 1.9467564320425750e+00 
1.6341142502376976e-01 7.9701077328079406e-02 9.8333333333333328e-01 1.9460341376719732e+00 
1.6199556107721863e-01 8.2540861073972016e-02 9.8333333333333328e-01 1.9452074711777294e+00 
1.6053035171347715e-01 8.5355502073990230e-02 9.8333333333333328e-01 1.9442820900561617e+00 
1.5901624324951127e-01 8.8144142961219377e-02 9.8333333333333328e-01 1.9432639508282334e+00 
1.5745369689742669e-01 9.0905934288631043e-02 9.8333333333333328e-01 1.9421592366135463e+00 
1.5584318862397895e-01 9.3640034787832838e-02 9.8333333333333328e-01 1.9409742879674268e+00 
